City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
304,minot air force base,48.4209,-101.3391,12.1,63,75,2.57,US,1701983777
305,kavieng,-2.5744,150.7967,27.38,82,95,3.14,PG,1701983777
306,luganville,-15.5333,167.1667,26.48,86,100,4.5,VU,1701983777
307,magadan,59.5667,150.8,-7.48,81,100,7.62,RU,1701983777
308,pizarro,4.9533,-77.366,26.64,83,93,2.68,CO,1701983778
309,souillac,-20.5167,57.5167,25.21,94,40,0.0,MU,1701983778
310,lerwick,60.1545,-1.1494,6.0,75,100,15.37,GB,1701983778
311,villa del prado,40.2692,-4.3046,11.29,98,100,2.09,ES,1701983778
312,kourou,5.1552,-52.6478,28.03,86,32,3.88,GF,1701983778
313,mount gambier,-37.8333,140.7667,22.67,50,95,3.78,AU,1701983779
314,les cayes,18.2,-73.75,29.38,61,26,2.83,HT,1701983779
315,boa vista,2.8197,-60.6733,27.99,69,75,1.03,BR,1701983779
316,weihai,37.5017,122.1136,10.35,82,0,6.35,CN,1701983716
317,inderbor,48.55,51.7833,-5.6,79,100,4.96,KZ,1701983780
318,qinzhou,21.95,108.6167,17.07,71,80,2.14,CN,1701983780
319,jiagedaqi,50.4167,124.1167,-16.18,95,100,2.97,CN,1701983780
320,ola,59.5833,151.2833,-7.14,78,100,6.8,RU,1701983780
321,dryden,49.7833,-92.7503,3.16,75,100,3.09,CA,1701983781
322,diyadin,39.5406,43.6713,1.1,93,98,1.53,TR,1701983781
323,panino,51.6467,40.1346,-8.36,91,34,4.9,RU,1701983781
324,westport,41.1415,-73.3579,4.07,67,100,2.57,US,1701983577
325,mutuali,-14.8706,37.0044,25.86,58,100,1.44,MZ,1701983782
326,esil,51.9556,66.4042,-32.24,98,6,2.61,KZ,1701983782
327,qamdo,31.1667,97.2333,-4.95,51,100,0.15,CN,1701983782
328,akdagmadeni,39.6603,35.8836,6.2,77,100,3.12,TR,1701983782
329,yarmouth,41.7057,-70.2286,-0.55,67,20,2.06,US,1701983783
330,sinop,41.7711,34.8709,8.84,80,75,3.47,TR,1701983783
331,kipalbig,6.4108,124.925,23.77,95,73,0.48,PH,1701983783
332,warwick,41.7001,-71.4162,1.28,48,75,4.12,US,1701983669
333,bathsheba,13.2167,-59.5167,25.34,94,75,6.17,BB,1701983529
334,singkil,-7.9855,111.4161,24.74,93,86,1.78,ID,1701983784
335,yashkul',46.1711,45.3435,-0.74,79,97,7.68,RU,1701983784
336,sabang,5.8933,95.3214,27.38,82,99,5.2,ID,1701983784
337,dickinson,29.4608,-95.0513,22.27,65,0,6.17,US,1701983784
338,landskrona,55.8708,12.8302,1.97,96,100,1.76,SE,1701983785
339,sidi khaled,34.387,4.9879,13.09,55,15,2.4,DZ,1701983785
340,mahanoro,-19.9,48.8,22.74,81,70,1.27,MG,1701983785
341,sao vicente,-23.9631,-46.3919,35.1,26,61,0.89,BR,1701983617
342,nogliki,51.8333,143.1667,-3.14,96,100,5.36,RU,1701983785
343,la ronge,55.1001,-105.2842,-1.86,80,75,3.09,CA,1701983786
344,lihue,21.9789,-159.3672,26.52,71,75,2.57,US,1701983786
345,puerto lempira,15.2667,-83.7667,28.08,83,40,3.09,HN,1701983657
346,katoya,23.65,88.1333,18.33,94,62,3.51,IN,1701983786
347,nago,26.5881,127.9761,15.81,64,0,2.52,JP,1701983787
348,murray bridge,-35.1167,139.2667,30.07,42,61,6.87,AU,1701983787
349,castillos,-34.1667,-53.8333,17.93,74,49,6.92,UY,1701983787
